fecha,ticker,precio,moneda,fuente
2025-01-15,BTC,100000000,ARS,Bitcoin
2026-05-01,BTC,118000000,ARS,Bitcoin
2026-05-08,BTC,122500000,ARS,Bitcoin
2026-05-15,BTC,126000000,ARS,Bitcoin
2026-05-22,BTC,124000000,ARS,Bitcoin
2026-05-29,BTC,129500000,ARS,Bitcoin
2026-06-05,BTC,132000000,ARS,Bitcoin
2026-06-10,BTC,135000000,ARS,Bitcoin
2025-01-02,NVDA,6720.00,ARS,Yahoo Finance NVDA.BA
2025-01-03,NVDA,7090.00,ARS,Yahoo Finance NVDA.BA
2025-01-06,NVDA,7440.00,ARS,Yahoo Finance NVDA.BA
2025-01-07,NVDA,7010.00,ARS,Yahoo Finance NVDA.BA
2025-01-08,NVDA,6900.00,ARS,Yahoo Finance NVDA.BA
2025-01-09,NVDA,7000.00,ARS,Yahoo Finance NVDA.BA
2025-01-10,NVDA,6740.00,ARS,Yahoo Finance NVDA.BA
2025-01-13,NVDA,6580.00,ARS,Yahoo Finance NVDA.BA
2025-01-14,NVDA,6530.00,ARS,Yahoo Finance NVDA.BA
2025-01-15,NVDA,6720.00,ARS,Yahoo Finance NVDA.BA
2025-01-16,NVDA,6730.00,ARS,Yahoo Finance NVDA.BA
2025-01-17,NVDA,6840.00,ARS,Yahoo Finance NVDA.BA
2025-01-20,NVDA,6870.00,ARS,Yahoo Finance NVDA.BA
2025-01-21,NVDA,6990.00,ARS,Yahoo Finance NVDA.BA
2025-01-22,NVDA,7310.00,ARS,Yahoo Finance NVDA.BA
2025-01-23,NVDA,7230.00,ARS,Yahoo Finance NVDA.BA
2025-01-24,NVDA,6950.00,ARS,Yahoo Finance NVDA.BA
2025-01-27,NVDA,5740.00,ARS,Yahoo Finance NVDA.BA
2025-01-28,NVDA,6250.00,ARS,Yahoo Finance NVDA.BA
2025-01-29,NVDA,6000.00,ARS,Yahoo Finance NVDA.BA
2025-01-30,NVDA,6010.00,ARS,Yahoo Finance NVDA.BA
2025-01-31,NVDA,5990.00,ARS,Yahoo Finance NVDA.BA
2025-02-03,NVDA,5840.00,ARS,Yahoo Finance NVDA.BA
2025-02-04,NVDA,5920.00,ARS,Yahoo Finance NVDA.BA
2025-02-05,NVDA,6210.00,ARS,Yahoo Finance NVDA.BA
2025-02-06,NVDA,6360.00,ARS,Yahoo Finance NVDA.BA
2025-02-07,NVDA,6420.00,ARS,Yahoo Finance NVDA.BA
2025-02-10,NVDA,6680.00,ARS,Yahoo Finance NVDA.BA
2025-02-11,NVDA,6630.00,ARS,Yahoo Finance NVDA.BA
2025-02-12,NVDA,6510.00,ARS,Yahoo Finance NVDA.BA
2025-02-13,NVDA,6740.00,ARS,Yahoo Finance NVDA.BA
2025-02-14,NVDA,6880.00,ARS,Yahoo Finance NVDA.BA
2025-02-17,NVDA,6910.00,ARS,Yahoo Finance NVDA.BA
2025-02-18,NVDA,7050.00,ARS,Yahoo Finance NVDA.BA
2025-02-19,NVDA,7100.00,ARS,Yahoo Finance NVDA.BA
2025-02-20,NVDA,7080.00,ARS,Yahoo Finance NVDA.BA
2025-02-21,NVDA,6860.00,ARS,Yahoo Finance NVDA.BA
2025-02-24,NVDA,6720.00,ARS,Yahoo Finance NVDA.BA
2025-02-25,NVDA,6480.00,ARS,Yahoo Finance NVDA.BA
2025-02-26,NVDA,6580.00,ARS,Yahoo Finance NVDA.BA
2025-02-27,NVDA,6300.00,ARS,Yahoo Finance NVDA.BA
2025-02-28,NVDA,6210.00,ARS,Yahoo Finance NVDA.BA
2025-03-05,NVDA,6060.00,ARS,Yahoo Finance NVDA.BA
2025-03-06,NVDA,5760.00,ARS,Yahoo Finance NVDA.BA
2025-03-07,NVDA,5690.00,ARS,Yahoo Finance NVDA.BA
2025-03-10,NVDA,5460.00,ARS,Yahoo Finance NVDA.BA
2025-03-11,NVDA,5650.00,ARS,Yahoo Finance NVDA.BA
2025-03-12,NVDA,5930.00,ARS,Yahoo Finance NVDA.BA
2025-03-13,NVDA,5950.00,ARS,Yahoo Finance NVDA.BA
2025-03-14,NVDA,6280.00,ARS,Yahoo Finance NVDA.BA
2025-03-17,NVDA,6270.00,ARS,Yahoo Finance NVDA.BA
2025-03-18,NVDA,6240.00,ARS,Yahoo Finance NVDA.BA
2025-03-19,NVDA,6330.00,ARS,Yahoo Finance NVDA.BA
2025-03-20,NVDA,6360.00,ARS,Yahoo Finance NVDA.BA
2025-03-21,NVDA,6290.00,ARS,Yahoo Finance NVDA.BA
2025-03-25,NVDA,6500.00,ARS,Yahoo Finance NVDA.BA
2025-03-26,NVDA,6120.00,ARS,Yahoo Finance NVDA.BA
2025-03-27,NVDA,6040.00,ARS,Yahoo Finance NVDA.BA
2025-03-28,NVDA,5970.00,ARS,Yahoo Finance NVDA.BA
2025-03-31,NVDA,5940.00,ARS,Yahoo Finance NVDA.BA
2025-04-01,NVDA,5990.00,ARS,Yahoo Finance NVDA.BA
2025-04-03,NVDA,5590.00,ARS,Yahoo Finance NVDA.BA
2025-04-04,NVDA,5260.00,ARS,Yahoo Finance NVDA.BA
2025-04-07,NVDA,5510.00,ARS,Yahoo Finance NVDA.BA
2025-04-08,NVDA,5480.00,ARS,Yahoo Finance NVDA.BA
2025-04-09,NVDA,6320.00,ARS,Yahoo Finance NVDA.BA
2025-04-10,NVDA,6100.00,ARS,Yahoo Finance NVDA.BA
2025-04-11,NVDA,6130.00,ARS,Yahoo Finance NVDA.BA
2025-04-14,NVDA,5810.00,ARS,Yahoo Finance NVDA.BA
2025-04-15,NVDA,5800.00,ARS,Yahoo Finance NVDA.BA
2025-04-16,NVDA,5090.00,ARS,Yahoo Finance NVDA.BA
2025-04-21,NVDA,4565.00,ARS,Yahoo Finance NVDA.BA
2025-04-22,NVDA,4750.00,ARS,Yahoo Finance NVDA.BA
2025-04-23,NVDA,5060.00,ARS,Yahoo Finance NVDA.BA
2025-04-24,NVDA,5330.00,ARS,Yahoo Finance NVDA.BA
2025-04-25,NVDA,5550.00,ARS,Yahoo Finance NVDA.BA
2025-04-28,NVDA,5410.00,ARS,Yahoo Finance NVDA.BA
2025-04-29,NVDA,5410.00,ARS,Yahoo Finance NVDA.BA
2025-04-30,NVDA,5390.00,ARS,Yahoo Finance NVDA.BA
2025-05-05,NVDA,5770.00,ARS,Yahoo Finance NVDA.BA
2025-05-06,NVDA,5760.00,ARS,Yahoo Finance NVDA.BA
2025-05-07,NVDA,5660.00,ARS,Yahoo Finance NVDA.BA
2025-05-08,NVDA,5660.00,ARS,Yahoo Finance NVDA.BA
2025-05-09,NVDA,5610.00,ARS,Yahoo Finance NVDA.BA
2025-05-12,NVDA,5920.00,ARS,Yahoo Finance NVDA.BA
2025-05-13,NVDA,6260.00,ARS,Yahoo Finance NVDA.BA
2025-05-14,NVDA,6500.00,ARS,Yahoo Finance NVDA.BA
2025-05-15,NVDA,6510.00,ARS,Yahoo Finance NVDA.BA
2025-05-16,NVDA,6600.00,ARS,Yahoo Finance NVDA.BA
2025-05-19,NVDA,6570.00,ARS,Yahoo Finance NVDA.BA
2025-05-20,NVDA,6530.00,ARS,Yahoo Finance NVDA.BA
2025-05-21,NVDA,6400.00,ARS,Yahoo Finance NVDA.BA
